type,entry_price,entry_time,entry_index,exit_price,exit_time,exit_index,max_excursion,max_profit_pct,net_profit_pct
long,103741.7,2025-01-18 12:15:00,4,103209.33,2025-01-18 13:15:00,16,103974.96,0.002248469034149328,-0.0061316876434451655
short,103209.33,2025-01-18 13:15:00,16,103233.43,2025-01-18 13:25:00,18,103209.33,0.0,-0.001233506021209432
long,103233.43,2025-01-18 13:25:00,18,104244.26,2025-01-18 15:25:00,42,104448.49,0.011770024496909696,0.008791692477911485
short,104244.26,2025-01-18 15:25:00,42,104408.01,2025-01-18 15:30:00,43,104244.26,0.0,-0.002570829895094464
long,104408.01,2025-01-18 15:30:00,43,104178.19,2025-01-18 16:20:00,53,104973.51,0.005416251109469475,-0.0032011721131356917
short,104178.19,2025-01-18 16:20:00,53,103867.21,2025-01-18 17:55:00,72,103198.17,0.009407151343289838,0.001985077778755764
long,103867.21,2025-01-18 17:55:00,72,104096.89,2025-01-18 20:25:00,102,104459.82,0.005705457959253941,0.0012112849666414743
short,104096.89,2025-01-18 20:25:00,102,104095.77,2025-01-18 22:15:00,124,103811.98,0.0027369693753579332,-0.0009892407928806005
long,104095.77,2025-01-18 22:15:00,124,104499.12,2025-01-19 00:05:00,146,104681.99,0.005631544874493951,0.0028747972179848542
short,104499.12,2025-01-19 00:05:00,146,104343.44,2025-01-19 01:45:00,166,104003.1,0.004746642842542497,0.0004897733110096336
long,104343.44,2025-01-19 01:45:00,166,104540.31,2025-01-19 03:15:00,184,105341.21,0.009562364438051918,0.0008867501397308286
short,104540.31,2025-01-19 03:15:00,184,104551.9,2025-01-19 03:20:00,185,104540.31,0.0,-0.0011108663251524365
long,104551.9,2025-01-19 03:20:00,185,104566.26,2025-01-19 03:25:00,186,104556.48,4.380599491737354e-05,-0.0008626519460669717
short,104566.26,2025-01-19 03:25:00,186,105143.87,2025-01-19 03:50:00,191,104566.26,0.0,-0.0065238659200396055
long,105143.87,2025-01-19 03:50:00,191,104922.01,2025-01-19 04:00:00,193,105188.85,0.00042779479203124707,-0.0031100611951985465
short,104922.01,2025-01-19 04:00:00,193,104917.83,2025-01-19 04:10:00,195,104895.09,0.0002565715239347612,-0.0009601608852137601
long,104917.83,2025-01-19 04:10:00,195,105109.03,2025-01-19 05:00:00,205,105257.99,0.003242156266480192,0.0008223785223159599
short,105109.03,2025-01-19 05:00:00,205,105122.21,2025-01-19 06:05:00,218,104275.25,0.007932524921978623,-0.0011253936031947738
